colour,count,common uses
"#363635",409,"color | .si-tablist li a (2); color | .si-data-chunk--sm>dd (2); color | .si-data-chunk--md>dd (2); color | .si-data-chunk--lg>dd (2); color | .si-data-chunk--2xl>dd (2); color | .si-fieldset__legend (2); color | .si-fieldset__legend--lg (2); color | .si-input (2)"
"#ffffff",300,"color | .btn-copy-to-clipboard__tooltip,.btn-copy-to-clipboard__success (2); color | .type-white (2); background-color | .bg-color--primary (1); color | .text-color--invert-primary (1); --bs-white | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); background-color | body (1); color | kbd (1); background-color | .img-thumbnail (1)"
"#c1658b",294,"background-color | .update-badge (2); color | .si-page-table--sm-only-compact .si-page-table__tbody-td--returns-investment a (2); color | .brand-navbar .brand-dropdown-menu li a:active (2); border | .brand-navbar .brand-dropdown-menu li a:focus (2); background-color | .bg-color--accent (1); color | .text-color--accent (1); color | .tab--active (1); color | .is-dropdown__menu>li.active (1)"
"rgba(0,0,0,0)",177,"border-color | .btn-copy-to-clipboard__tooltip:after,.btn-copy-to-clipboard__success:after (6); border-color | .loading-spinner .loading-spinner--inner .lds-ring div (3); border-color | .loading-spinner--large .loading-spinner--inner .lds-ring div (3); border | .brand-navbar .brand-dropdown-menu li a (2); -webkit-tap-highlight-color | body (1); background-color | .form-control-plaintext (1); border | .form-control-plaintext (1); color | .form-select:-moz-focusring (1)"
"#00aec2",93,"color | .btn-secondary--bordered,.si-btn-secondary--bordered (2); border-bottom | .si-page-table--sm-only-compact .si-page-table__tbody-tr--returns.paid (2); background-color | .si-page-table--sm-only-compact .si-page-table__tbody-tr--returns.paid::after (2); color | .is-dropdown__menu a (1); background-color | .admin-banner (1); fill | .si-mega-menu a.si-mega-menu__item:hover svg>path,.si-mega-menu a.si-mega-menu__item:active svg>path (1); color | .brand-secondary (1); background-color | .bg-colour--secondary (1)"
"#000000",83,"background | .placeholder-text::after (2); background | .placeholder-block::after (2); background | .brand-btn--placeholder-animation::after (2); background | .si-portfolio-button-placeholder::after (2); --bs-table-striped-color | .table-primary (1); --bs-table-active-color | .table-primary (1); --bs-table-hover-color | .table-primary (1); color | .table-primary (1)"
"#4d4a46",73,"color | .caption-sm (1); color | .caption-md (1); color | .caption-lg (1); color | .text-color--secondary (1); color | a:hover,a:focus,a:active,a:active:hover,a:active:focus (1); color | .si-accordion-item__body (1); color | .brand-btn-yellow (1); color | .brand-btn-yellow:hover (1)"
"#71716e",57,"background-color | .verticalLine (1); background-color | .bg-colour--grey (1); color | .forum-topic-meta (1); background-color | portfolio-btn-dropdown .dropdown-option:active,.si-portfolio-btn-dropdown .dropdown-option:active:hover,.si-portfolio-btn-dropdown .dropdown-option:active:focus (1); color | .si-transfer-money__label (1); color | .si-transfer-money-balance (1); box-shadow | .si-resale__message--warning (1); box-shadow | .si-resale__message--success (1)"
"#b02525",42,"border-color | .si-form-control.input-validation-error,.input-validation-error#opc_dropdown.form-control (2); outline-color | .si-form-control.input-validation-error:focus,.input-validation-error#opc_dropdown.form-control:focus (2); color | .type-error (1); color | .forum-form .error:not(input):not(textarea) (1); color | .si-payment-error (1); color | .si-transfer-money .field-validation-error,.si-transfer-money .field-validation-error-additional (1); border | .si-resale__message--warning (1); color | .si-resale__available-investments .brand-danger (1)"
"#f7d9e8",38,"background-color | .bg-color--tertiary (1); background-color | .bg-colour--primary-surface,.bg-color--primary-surface (1); background-color | .btn-primary--bordered:hover,.si-btn-primary--bordered:hover (1); background-color | .btn-primary--bordered:active,.si-btn-primary--bordered:active (1); background-color | .btn-primary--bordered:focus,.si-btn-primary--bordered:focus (1); background-color | .btn-primary--floating:hover,.si-btn-primary--floating:hover (1); background-color | .btn-primary--floating:active,.si-btn-primary--floating:active (1); background-color | .btn-primary--floating:focus,.si-btn-primary--floating:focus (1)"
